Legajo;2P2F;Situacion
082474/6;4,4;Rec 1 o 2
081728/4;8,8;9
082003/5;2,4;D
082532/8;;D
004974/2;1;D
004950/4;;D
004913/8;;D
004787/2;;D
082489/3;;D
081874/4;;D
082900/1;;D
082903/5;;D
004785/9;;D
082276/0;6,3;8
081897/1;0,1;D
082401/7;0;D
081679/3;;D
081881/3;;D
083093/9;;D
083116/8;;D
004786/1;;D
083117/9;;D
081984/0;1,6;D
082567/9;1,4;D
082636/6;4,2;D
083083/7;;D
004867/1;0,1;D
082638/7;3,4;D
082464/3;4;Rec 1 o 2
082256/6;;D
083138/5;2,5;D
082801/9;7,8;7
082639/8;5,3;6
081914/4;3,4;D
082528/1;;D
081939/3;;D
081769/4;;D
082832/7;;D
082712/0;2,5;D
082281/8;;D
081920/2;;D
004741/6;2;D
083040/6;4,1;Rec 2
081853/9;5,2;6
081961/2;4,3;D
082858/9;;D
082571/5;7,9;6
082146/1;;D
082953/6;2,6;D
082795/1;0,1;D
004852/2;;D
082760/8;;D
004770/2;5,5;Rec 1 o 2
77091/9;;D
081800/4;;D
081557/3;0,3;D
083143/2;;D
004830/7;5;D
082763/2;;D
082955/8;0,6;D
004966/3;;D
081634/9;4;6
082469/8;4,7;6
082538/4;3,5;D
082368/4;;D
082496/1;;D
082765/4;8;8
083188/6;;D
082812/3;;D
082867/0;;D
083069/0;0;D
082387/7;4,3;D
083046/2;1;D
083174/9;;D
004979/8;1,7;D
083102/2;;D
082259/0;6,2;Rec 1
082887/4;1,8;D
082677/4;;D
082791/6;;D
082599/8;;D
004890/0;;D
082875/0;1;D
083177/3;;D
082194/9;0,9;D
081661/2;2,6;D
082149/4;4,3;Rec 2
082523/7;;D
79862/9;;D
